method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
LNS(1s)+wPBS-MLSIPP,50,0.2,0.10,-5.60,106755.0,swt+rt
LNS(1s)+wPBS-MLSIPP,10,0.5,-0.80,2.50,457978.7,rt
LNS(1s)+wPBS-MLSIPP,20,0.5,-0.20,2.60,179447.1,rt
LNS(1s)+wPBS-MLSIPP,30,0.5,-1.10,-1.00,103009.0,rt
LNS(1s)+wPBS-MLSIPP,40,0.5,-1.00,-1.60,63559.5,rt
LNS(1s)+wPBS-MLSIPP,50,0.5,-1.60,-3.80,42081.3,swt+rt
LNS(1s)+wPBS-MLSIPP,10,1,1.90,2.50,35610.3,rt
LNS(1s)+wPBS-MLSIPP,20,1,-0.20,2.30,78797.2,rt
LNS(1s)+wPBS-MLSIPP,30,1,-0.70,4.30,37285.5,swt+rt
LNS(1s)+wPBS-MLSIPP,40,1,0.60,0.60,25391.9,rt
LNS(1s)+wPBS-MLSIPP,50,1,-0.40,-2.30,18578.9,rt
LNS(1s)+wPBS-MLSIPP,10,2,-0.50,-0.10,8155.9,rt
LNS(1s)+wPBS-MLSIPP,20,2,2.30,3.50,24421.9,swt+rt
